ensembl_gene_id	external_gene_name	chromosome_name	strand	start_position	end_position	gene_biotype	P	FDR	CYCLE_DE_WT	CYCLE_DE	LOG2_FC
ENSG00000105696	TMEM59L	chr19	1	18718240	18731849	protein_coding	0.0121857803553448	0.113602920086924	-0.419012381891317	-1.44896819569616	-1.02995581380484
ENSG00000185630	PBX1	chr1	1	164524821	164868533	protein_coding	0.0121857803553448	0.113602920086924	5.09019643184614	5.8200999566435	0.729903524797368
ENSG00000145545	SRD5A1	chr5	1	6633456	6669675	protein_coding	0.0121857803553448	0.113602920086924	6.01832249244139	5.84109953629126	-0.177222956150122
ENSG00000175832	ETV4	chr17	-1	41605212	41656988	protein_coding	0.0121857803553448	0.113602920086924	4.62213005326587	3.08487766306192	-1.53725239020395
ENSG00000132819	RBM38	chr20	1	55966463	55984389	protein_coding	0.0121857803553448	0.113602920086924	4.93129358209824	4.32116774671266	-0.610125835385574
ENSG00000137745	MMP13	chr11	-1	102813724	102826463	protein_coding	0.0121857803553448	0.113602920086924	0.946210102139739	2.86710376959553	1.92089366745579
ENSG00000117461	PIK3R3	chr1	-1	46505812	46642160	protein_coding	0.0121857803553448	0.113602920086924	3.76167099445733	4.20212150555923	0.440450511101897
ENSG00000142528	ZNF473	chr19	1	50528971	50556671	protein_coding	0.0121857803553448	0.113602920086924	3.54286050765222	3.23300953483213	-0.309850972820093
ENSG00000168890	TMEM150A	chr2	-1	85825671	85830319	protein_coding	0.0121857803553448	0.113602920086924	3.88940192861956	3.15281335717623	-0.736588571443324
ENSG00000155229	MMS19	chr10	-1	99218081	99258551	protein_coding	0.0121857803553448	0.113602920086924	5.52522143882605	5.63508878857019	0.10986734974414
ENSG00000151725	CENPU	chr4	-1	185615772	185655287	protein_coding	0.0121857803553448	0.113602920086924	4.93245331663965	5.24244410541148	0.309990788771822
ENSG00000085552	IGSF9	chr1	-1	159896829	159915386	protein_coding	0.0121857803553448	0.113602920086924	-1.47919627208727	-2.3549049399971	-0.875708667909834
ENSG00000068383	INPP5A	chr10	1	134351324	134596979	protein_coding	0.0121857803553448	0.113602920086924	3.58572424323654	3.90174841297827	0.316024169741731
ENSG00000124588	NQO2	chr6	1	2988221	3019996	protein_coding	0.0121857803553448	0.113602920086924	7.21160949321392	7.07666603146159	-0.134943461752322
ENSG00000123130	ACOT9	chrX	-1	23720370	23784592	protein_coding	0.0121857803553448	0.113602920086924	6.45386481534902	6.10135927869692	-0.3525055366521
ENSG00000114491	UMPS	chr3	1	124449213	124464040	protein_coding	0.0121857803553448	0.113602920086924	6.12609723136445	5.92599071244198	-0.200106518922472
ENSG00000101868	POLA1	chrX	1	24712036	25015103	protein_coding	0.0121857803553448	0.113602920086924	4.44150750606229	4.96548112780272	0.523973621740428
ENSG00000033327	GAB2	chr11	-1	77926343	78129394	protein_coding	0.0121857803553448	0.113602920086924	0.352727142181178	0.147287758919811	-0.205439383261367
ENSG00000092847	AGO1	chr1	1	36335409	36395211	protein_coding	0.0121857803553448	0.113602920086924	3.80103009684123	3.5726046526635	-0.228425444177727
ENSG00000143801	PSEN2	chr1	1	227057885	227083806	protein_coding	0.0121857803553448	0.113602920086924	4.3996461264807	3.99858178715781	-0.40106433932289
ENSG00000136943	CTSV	chr9	-1	99794940	99801925	protein_coding	0.0121857803553448	0.113602920086924	2.63919851974155	2.42672131960983	-0.212477200131714
ENSG00000135829	DHX9	chr1	1	182808504	182856886	protein_coding	0.0121857803553448	0.113602920086924	7.60804829699261	7.85275437016637	0.244706073173754
ENSG00000138678	AGPAT9	chr4	1	84457067	84527028	protein_coding	0.0121857803553448	0.113602920086924	3.70354905287747	2.99137213610993	-0.712176916767536
ENSG00000099810	MTAP	chr9	1	21802542	21931646	protein_coding	0.0121857803553448	0.113602920086924	6.5852859968219	6.2285155674073	-0.356770429414599
ENSG00000171067	C11orf24	chr11	-1	68028803	68039469	protein_coding	0.0121857803553448	0.113602920086924	6.79114766403378	6.45470648860986	-0.336441175423921
ENSG00000110092	CCND1	chr11	1	69455855	69469242	protein_coding	0.0121857803553448	0.113602920086924	7.63329076770707	7.313796879246	-0.319493888461071
ENSG00000111371	SLC38A1	chr12	-1	46576846	46663800	protein_coding	0.0121857803553448	0.113602920086924	7.87769349705774	7.46316115023469	-0.414532346823053
ENSG00000063127	SLC6A16	chr19	-1	49792895	49828482	protein_coding	0.0121857803553448	0.113602920086924	-0.65588397481921	0.178861996959143	0.834745971778353
ENSG00000197147	LRRC8B	chr1	1	89990395	90063423	protein_coding	0.0121857803553448	0.113602920086924	2.93259624763912	2.4282334239761	-0.504362823663023
